1.3308,39.997,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1514,1.1514,0.0010035999999999999,10.003,293.15,3.9997,1.0003,1.3204,1.3204,0.10260000000000002,0.0
1.4335,39.997,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1514,1.1514,0.0010035999999999999,10.003,293.15,3.9997,1.0003,1.3204,1.3204,0.10270000000000001,0.0
1.6,39.997,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1514,1.1514,0.0010035999999999999,10.003,293.15,3.9997,1.0003,1.3204,1.3204,0.1665000000000001,0.0
1.7498,39.996,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1514,1.1514,0.0010035999999999999,10.004,293.15,3.9996,1.0004,1.3204,1.3204,0.14979999999999993,0.0
1.9,39.996,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1514,1.1514,0.0010035999999999999,10.004,293.15,3.9996,1.0004,1.3204,1.3204,0.1501999999999999,0.0
2.068,39.996,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1514,1.1514,0.0010035999999999999,10.004,293.15,3.9996,1.0004,1.3204,1.3204,0.16800000000000015,0.0
2.2,39.996,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1514,1.1514,0.0010035999999999999,10.004,293.15,3.9996,1.0004,1.3204,1.3204,0.13200000000000012,0.0
2.3827,39.995,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1514,1.1514,0.0010035999999999999,10.005,293.15,3.9995,1.0005,1.3204,1.3204,0.18269999999999964,0.0
2.5,39.995,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.005,293.15,3.9995,1.0005,1.3204,1.3204,0.11730000000000018,0.0
2.7,39.995,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.005,293.15,3.9995,1.0005,1.3204,1.3204,0.20000000000000018,0.0
3.0,39.994,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.006,293.15,3.9994,1.0006,1.3204,1.3204,0.2999999999999998,0.0
3.3,39.993,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.007,293.15,3.9993,1.0007,1.3204,1.3204,0.2999999999999998,0.0
3.6,39.993,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.007,293.15,3.9993,1.0007,1.3204,1.3204,0.30000000000000027,0.0
3.9,39.992,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.008,293.15,3.9992,1.0008,1.3204,1.3204,0.2999999999999998,0.0
4.2,39.992,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.008,293.15,3.9992,1.0008,1.3204,1.3204,0.30000000000000027,0.0
4.5,39.991,293.15,1.1682,0.0010035999999999999,1.1682,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.009,293.15,3.9991,1.0009,1.3204,1.3204,0.2999999999999998,0.0
4.8,39.99,293.15,1.1683,0.0010035999999999999,1.1683,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.01,293.15,3.9989999999999997,1.001,1.3204,1.3204,0.2999999999999998,0.0
5.1,39.99,293.15,1.1683,0.0010035999999999999,1.1683,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.01,293.15,3.9989999999999997,1.001,1.3204,1.3204,0.2999999999999998,0.0
5.4,39.989000000000004,293.15,1.1683,0.0010035999999999999,1.1683,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.011000000000001,293.15,3.9989,1.0011,1.3204,1.3204,0.3000000000000007,0.0
5.7,39.989000000000004,293.15,1.1683,0.0010035999999999999,1.1683,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.011000000000001,293.15,3.9989,1.0011,1.3204,1.3204,0.2999999999999998,0.0
6.0,39.988,293.15,1.1683,0.0010035999999999999,1.1683,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.012,293.15,3.9988,1.0012,1.3204,1.3204,0.2999999999999998,0.0
6.3,39.986999999999995,293.15,1.1683,0.0010035999999999999,1.1683,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.013,293.15,3.9987,1.0013,1.3203,1.3203,0.2999999999999998,0.0
6.6,39.986999999999995,293.15,1.1683,0.0010035999999999999,1.1683,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.013,293.15,3.9987,1.0013,1.3203,1.3203,0.2999999999999998,0.0
6.9,39.986,293.15,1.1683,0.0010035999999999999,1.1683,0.0010035999999999999,0.0010035999999999999,1.1515,1.1515,0.0010035999999999999,10.014,293.15,3.9986,1.0014,1.3203,1.3203,0.3000000000000007,0.0
